Transaction,Items,,,,,
1,Wine,Chips,Bread,Butter,Milk,Apple
2,Wine,Chips,,Butter,Milk,
3,,,Bread,Butter,Milk,Apple
4,,,Bread,,Milk,Apple
5,Wine,Chips,Bread,,Milk,
6,Wine,Chips,,Butter,Milk,Apple
7,Wine,Chips,,Butter,,Apple
8,Wine,Chips,Bread,Butter,Milk,Apple
9,Wine,Chips,Bread,Butter,Milk,Apple
10,Wine,Chips,,Butter,Milk,
11,,,,Butter,,Apple
12,Wine,,Bread,Butter,Milk,Apple
13,Wine,Chips,Bread,Butter,Milk,Apple
14,Wine,Chips,Bread,,Milk,Apple
15,,Chips,Bread,,Milk,Apple
16,,,Bread,Butter,Milk,
17,Wine,,Bread,Butter,Milk,Apple
18,Wine,Chips,Bread,Butter,,Apple
19,Wine,Chips,Bread,Butter,,
20,Wine,Chips,Bread,Butter,Milk,Apple
21,Wine,Chips,Bread,Butter,Milk,Apple
22,,Chips,Bread,Butter,Milk,Apple
